Region;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Tomskaya oblast';43634094.1;56434682;52142572;53540837;67901008;53966525;68136698;100436928;116060322.7;117320361.6;122350047.7;139828939.4;131082896.6;145992566.5;185994504.7;170901010.5;99198539.5;189899349.9
Respublika Buryatiya;2668692.1;3363515;3091309.6;3649066.6;8063647;5534370.3;6504896.8;9206360.2;8165726.6;7239059;6410241.7;8219528.2;11352341.5;10389769.4;14494482;14631961.5;19056922.2;26834996.4
Zabajkal'skij kraj;4402324.8;5305539;6396269.3;7176772;9064962;10511238.4;21343452;16237893;20470609;22991593.6;17540770.6;27814319.8;37161108.4;42516701.3;49145923.6;65346704.9;110161873.2;146083864.6
Respublika Saha (YAkutiya);62631891;72286165;80570771.5;88652013.7;111122365.9;93100591.9;154548155.3;211496259;231588644.2;244363281.5;291482111.4;364276471.5;441184620.6;442707868.8;573944614.1;619698898.4;563492113.5;954683593.1
Kamchatskij kraj;1650749.2;1725373;1848201;2283047;2344017.4;3859967;4252472;4516776;5596558.4;4209974.9;6091542.9;8371152.5;15250290.5;12464961.5;13332599.5;13324935.6;22304861.4;17813442.3
Primorskij kraj;2064889.8;3009958;3816070.1;3838758.2;2844149.2;4459027.1;5316697.7;6814262.8;6465400.2;5568388.2;7362255.2;7899571.5;9444767.5;8108864.2;10469010.2;10649764.4;10613897;13453375.7
Habarovskij kraj;7545387.6;7527000.9;9066165.9;10384711;11806542.8;13289601;16058030;21802377;28400320.1;23769220.9;24221237.1;31037323;36357208.4;40040058.4;49313246.5;48145251.4;65778397.3;83188337.9
Amurskaya oblast';2940786.2;4053181;4923423;5512723;9117033;15912399;18254086;35316850;34251953.2;24426573.8;26313959.4;47330346;39851181.9;31801947;31172068.5;46270226.4;68578183.1;76442074.7
Magadanskaya oblast';7819320.1;7375344;6299504;6548286;7200955.9;8865691.6;12192742;18177325.6;14367492.2;15375674.8;16769881.5;35973210.9;59844528.2;59945180.9;64952817.3;96379566.4;159993218.1;172773105.6
Sahalinskaya oblast';15570457.2;26716943.5;42265688;153517110;166128359;218761958;289572976.5;362993674.8;395998479.3;411708020.5;521488207.9;489777923.7;397150344;462540226.7;838134243.1;753765997.4;557297443.6;739999026.6
Evrejskaya avtonomnaya oblast';66394.5;68507;80695;184812;142040;65281;107290;151465;225940.1;308611.5;715542.4;766691.7;1053370.2;4668744.5;3353704.1;6468633.5;8679168.5;18631193.8
CHukotskij avtonomnyj okrug;788453.1;931379;1159725;2514810;9114149.8;18387549.7;14900079;18675974;17223120.8;14748225.9;24218640.6;29946756.1;33318354.4;29816313.4;31491354.7;37447301.9;54652904.4;56490866.7
